target,distractor,set,ans1,ans2,rep_loop2.thisRepN,rep_loop2.thisTrialN,rep_loop2.thisN,rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,fl_inst_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,sound_1.started,sound_1.stopped,no_text.started,no_text.stopped,yes_text.started,yes_text.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.started,mouse_2.stopped,back_2.started,back_2.stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl.started,fix_fl.stopped,targ.started,targ.stopped,j_button.started,j_button.stopped,k_button.started,k_button.stopped,l_button.started,l_button.stopped,j_button2.started,j_button2.stopped,k_button2.started,k_button2.stopped,l_button2.started,l_button2.stopped,mainback.started,mainback.stopped,key_resp.keys,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.started,mouse_6.stopped,id*,age*,gender*,date,expName,psychopyVersion,frameRate,
positive,neutral,1,l,j,,,,,,,,,9,5,167,8,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,neutral,positive,l,l,1,0.9738609999185428,528.010742399958,529.0224679999519,529.0059751999797,None,528.010742399958,None,528.010742399958,None,528.010742399958,None,529.9725154299988,None,529.9725154299988,None,529.9725154299988,None,,,,,,,,,,,128,22,Female,2022-05-11_11h05.32.792,Boat,2022.1.1,60.00657671500088,
neutral,negative,2,k,k,,,,,,,,,9,6,168,16,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,negative,neutral,k,k,1,0.7544754000846297,529.9870703999186,530.9896823000163,530.9728265999584,None,529.9870703999186,None,529.9870703999186,None,529.9870703999186,None,531.730073229922,None,531.730073229922,None,531.730073229922,None,,,,,,,,,,,128,22,Female,2022-05-11_11h05.32.792,Boat,2022.1.1,60.00657671500088,
negative,negative,1,j,l,,,,,,,,,9,7,169,0,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,negative,negative,j,l,0,0.9172305000247434,531.7464114999166,532.7505183999892,532.7305522999959,None,531.7464114999166,None,531.7464114999166,None,531.7464114999166,None,533.6562318999786,None,533.6562318999786,None,533.6562318999786,None,,,,,,,,,,,128,22,Female,2022-05-11_11h05.32.792,Boat,2022.1.1,60.00657671500088,
positive,positive,2,l,j,,,,,,,,,9,8,170,11,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,positive,positive,l,l,1,0.7481296000769362,534.675236799987,535.6892269999953,535.655381300021,None,534.675236799987,None,534.675236799987,None,534.675236799987,None,536.4064340299694,None,536.4064340299694,None,536.4064340299694,None,,,,,,,,,,,128,22,Female,2022-05-11_11h05.32.792,Boat,2022.1.1,60.00657671500088,
neutral,neutral,1,k,k,,,,,,,,,9,9,171,1,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,neutral,neutral,k,k,1,0.8107235999777913,536.424655299983,537.4392892000033,537.4061110999901,None,536.424655299983,None,536.424655299983,None,536.424655299983,None,538.2229929300258,None,538.2229929300258,None,538.2229929300258,None,,,,,,,,,,,128,22,Female,2022-05-11_11h05.32.792,Boat,2022.1.1,60.00657671500088,
positive,negative,2,l,j,,,,,,,,,9,10,172,14,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,negative,positive,l,l,1,0.8063626000657678,538.2377902999287,539.2391472000163,539.2391472000163,None,538.2377902999287,None,538.2377902999287,None,538.2377902999287,None,540.033175429958,None,540.033175429958,None,540.033175429958,None,,,,,,,,,,,128,22,Female,2022-05-11_11h05.32.792,Boat,2022.1.1,60.00657671500088,
negative,positive,1,j,l,,,,,,,,,9,11,173,6,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,positive,negative,j,j,1,0.7944953000405803,540.0495332999853,541.0533750000177,541.03397400002,None,540.0495332999853,None,540.0495332999853,None,540.0495332999853,None,541.8300334299449,None,541.8300334299449,None,541.8300334299449,None,,,,,,,,,,,128,22,Female,2022-05-11_11h05.32.792,Boat,2022.1.1,60.00657671500088,
negative,neutral,2,j,l,,,,,,,,,9,12,174,12,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,neutral,negative,j,j,1,0.747172899893485,541.8448257999262,542.8560199999483,542.8390766999219,None,541.8448257999262,None,541.8448257999262,None,541.8448257999262,None,543.5795810299926,None,543.5795810299926,None,543.5795810299926,None,,,,,,,,,,,128,22,Female,2022-05-11_11h05.32.792,Boat,2022.1.1,60.00657671500088,
positive,negative,1,l,j,,,,,,,,,9,13,175,5,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,negative,positive,l,l,1,1.268513899995014,543.5939236999257,544.6006380999461,544.6006380999461,None,543.5939236999257,None,543.5939236999257,None,543.5939236999257,None,545.8502944299719,None,545.8502944299719,None,545.8502944299719,None,,,,,,,,,,,128,22,Female,2022-05-11_11h05.32.792,Boat,2022.1.1,60.00657671500088,
neutral,neutral,2,k,k,,,,,,,,,9,14,176,10,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,neutral,neutral,k,k,1,0.8135064999805763,545.8697384999832,546.8729455999564,546.8540555000072,None,545.8697384999832,None,545.8697384999832,None,545.8697384999832,None,547.6658914299217,None,547.6658914299217,None,547.6658914299217,None,,,,,,,,,,,128,22,Female,2022-05-11_11h05.32.792,Boat,2022.1.1,60.00657671500088,
