target,distractor,set,ans1,ans2,rep_loop2.thisRepN,rep_loop2.thisTrialN,rep_loop2.thisN,rep_loop2.thisIndex,flanker_prac_loop.thisRepN,flanker_prac_loop.thisTrialN,flanker_prac_loop.thisN,flanker_prac_loop.thisIndex,flanker_main_loop.thisRepN,flanker_main_loop.thisTrialN,flanker_main_loop.thisN,flanker_main_loop.thisIndex,fl_inst_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,sound_1.started,sound_1.stopped,no_text.started,no_text.stopped,yes_text.started,yes_text.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.started,mouse_2.stopped,back_2.started,back_2.stopped,main_prac,fl_cold,fl_colt,fl_set,fl_dcond,fl_tcond,fl_ans,fl_res,fl_corr,fl_rt,fix_fl.started,fix_fl.stopped,targ.started,targ.stopped,j_button.started,j_button.stopped,k_button.started,k_button.stopped,l_button.started,l_button.stopped,j_button2.started,j_button2.stopped,k_button2.started,k_button2.stopped,l_button2.started,l_button2.stopped,mainback.started,mainback.stopped,key_resp.keys,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.started,mouse_6.stopped,id*,age*,gender*,date,expName,psychopyVersion,frameRate,
positive,neutral,2,l,j,,,,,,,,,1,12,30,17,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,2,neutral,positive,j,j,1,0.8392859000000499,208.74727230000008,209.75094360000003,209.73236700000007,None,208.74727230000008,None,208.74727230000008,None,208.74727230000008,None,210.57050345999997,None,210.57050345999997,None,210.57050345999997,None,,,,,,,,,,,223,20,Male,2022-05-24_14h06.00.191,Main,2022.1.1,60.03900133535464,
neutral,neutral,1,k,k,,,,,,,,,1,13,31,1,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,neutral,neutral,k,k,1,0.706132400000115,210.59108659999993,211.60271300000022,211.58344370000032,None,210.59108659999993,None,210.59108659999993,None,210.59108659999993,None,212.27768536000022,None,212.27768536000022,None,212.27768536000022,None,,,,,,,,,,,223,20,Male,2022-05-24_14h06.00.191,Main,2022.1.1,60.03900133535464,
neutral,negative,1,k,k,,,,,,,,,1,14,32,7,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,negative,neutral,k,k,1,0.6647578000001886,212.29900510000016,213.31800550000025,213.27987920000032,None,212.29900510000016,None,212.29900510000016,None,212.29900510000016,None,213.9451960600003,None,213.9451960600003,None,213.9451960600003,None,,,,,,,,,,,223,20,Male,2022-05-24_14h06.00.191,Main,2022.1.1,60.03900133535464,
neutral,positive,1,k,k,,,,,,,,,1,15,33,4,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,1,positive,neutral,k,k,1,0.6224351999999271,213.96608530000003,214.9690399000001,214.9498047000002,None,213.96608530000003,None,213.96608530000003,None,213.96608530000003,None,215.57143106000004,None,215.57143106000004,None,215.57143106000004,None,,,,,,,,,,,223,20,Male,2022-05-24_14h06.00.191,Main,2022.1.1,60.03900133535464,
negative,neutral,1,j,l,,,,,,,,,1,16,34,3,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,neutral,negative,l,l,1,0.7743295000000217,215.59199290000015,216.60861220000015,216.5670269000002,None,215.59199290000015,None,215.59199290000015,None,215.59199290000015,None,217.3463057600001,None,217.3463057600001,None,217.3463057600001,None,,,,,,,,,,,223,20,Male,2022-05-24_14h06.00.191,Main,2022.1.1,60.03900133535464,
negative,neutral,2,j,l,,,,,,,,,1,17,35,12,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,neutral,negative,l,l,1,0.7625008999998499,217.37209440000015,218.37628790000008,218.3555593000001,None,217.37209440000015,None,217.37209440000015,None,217.37209440000015,None,219.11163086000025,None,219.11163086000025,None,219.11163086000025,None,,,,,,,,,,,223,20,Male,2022-05-24_14h06.00.191,Main,2022.1.1,60.03900133535464,
neutral,positive,1,k,k,,,,,,,,,2,0,36,4,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,positive,neutral,k,k,1,0.7045139999995627,219.1331952999999,220.13812420000022,220.1180546999999,None,219.1331952999999,None,219.1331952999999,None,219.1331952999999,None,220.82083906000017,None,220.82083906000017,None,220.82083906000017,None,,,,,,,,,,,223,20,Male,2022-05-24_14h06.00.191,Main,2022.1.1,60.03900133535464,
negative,positive,1,j,l,,,,,,,,,2,1,37,6,,,,,,,,,,,,,,,,,,,,,,,,main,1,1,1,positive,negative,l,l,1,0.792247800000041,220.8438481000003,221.8627449999999,221.82468980000021,None,220.8438481000003,None,220.8438481000003,None,220.8438481000003,None,222.62531152000003,None,222.62531152000003,None,222.62531152000003,None,,,,,,,,,,,223,20,Male,2022-05-24_14h06.00.191,Main,2022.1.1,60.03900133535464,
positive,positive,2,l,j,,,,,,,,,2,2,38,11,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,positive,positive,j,j,1,0.8513310999996975,222.64156000000003,223.65802520000034,223.63761090000025,None,222.64156000000003,None,222.64156000000003,None,222.64156000000003,None,224.47215436000025,None,224.47215436000025,None,224.47215436000025,None,,,,,,,,,,,223,20,Male,2022-05-24_14h06.00.191,Main,2022.1.1,60.03900133535464,
neutral,negative,2,k,k,,,,,,,,,2,3,39,16,,,,,,,,,,,,,,,,,,,,,,,,main,2,2,2,negative,neutral,k,k,1,0.8140932000001158,224.49155520000022,225.49741390000008,225.47624670000005,None,224.49155520000022,None,224.49155520000022,None,224.49155520000022,None,226.28921286000005,None,226.28921286000005,None,226.28921286000005,None,,,,,,,,,,,223,20,Male,2022-05-24_14h06.00.191,Main,2022.1.1,60.03900133535464,
